,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
1,0,1660,1888,56.7,68.67,951,227,1,1,52,52,1,52,50,2,0,1,2,True,,678,1182,True,True,1,,830,920,260,162,50,50,Right,0.973639092,0.626890261,1.6238210530000001,1.230338967,-0.641764291,-0.9149252929999999,3000.0,Free,"Correct, no change",5,8
3,0,2721,3609,67.68,69.9,1377,499,-1,-1,49,49,0,49,50,1,1,1,1,False,,566,1162,True,True,1,,672,950,392,31,50,50,Right,2.037392931,1.389619057,1.722514778,1.3015128759999999,-1.3813585030000002,-0.127152836,3000.0,Free,"Incorrect, no change",3,8
8,0,2586,2190,56.2,59.97,952,1351,1,1,53,53,1,53,50,3,0,1,1,True,,874,940,True,True,1,,742,1305,942,157,50,50,Left,0.9251985709999999,0.59215762,0.925743488,0.726913757,0.09782992199999999,-0.227387786,3000.0,Free,"Correct, no change",6,8
10,0,1892,2393,49.67,36.28,636,1652,-1,-1,48,48,0,48,50,2,1,1,1,False,,911,716,True,True,1,,644,1586,1133,56,50,50,Right,0.292565368,0.13854933,-0.9751136999999999,-0.643907302,-0.641764291,-0.7426696759999999,3000.0,Free,"Incorrect, no change",4,8
13,0,2534,1852,31.07,53.48,2362,1396,1,1,50,50,1,48,50,2,0,2,1,False,,1090,1488,False,False,1,,620,1209,1515,141,48,48,Right,-1.5094220090000001,-1.153504914,0.404993671,0.351370124,-0.641764291,-0.265996804,3000.0,Free,"Correct, no change",5,8
16,0,6576,2903,56.45,46.95,762,1701,-1,-1,50,50,1,50,51,1,1,1,2,False,,763,1064,True,True,1,,822,1294,1818,47,51,51,Right,0.9494188309999999,0.6095239410000001,-0.118965697,-0.026488108,-1.3813585030000002,2.73511184,3000.0,Free,"Incorrect, no change",4,7
19,0,1630,2301,44.97,48.07,2641,1039,1,1,50,50,2,50,47,3,0,1,2,True,,749,1340,True,True,1,,708,1100,2217,146,47,47,Right,-0.162775528,-0.187937495,-0.02909824,0.038320653999999996,0.09782992199999999,-0.9371997259999999,3000.0,Free,"Correct, no change",5,7
23,1,1662,2404,39.63,52.1,840,1190,-1,1,50,52,0,52,50,2,1,1,2,True,,999,1257,False,True,1,,857,954,2718,106,52,50,Left,-0.6801202909999999,-0.558882101,0.294264126,0.27151647,-0.641764291,-0.913440331,3000.0,Free,Incorrect to correct,6,7
26,1,3278,2555,43.13,40.88,589,1844,1,1,50,50,1,48,50,2,0,2,1,False,,911,802,False,False,1,,800,1518,3118,141,48,48,Right,-0.341036645,-0.31575361399999996,-0.606015217,-0.377728456,-0.641764291,0.286409142,3000.0,Free,"Correct, no change",5,10
27,1,1247,2160,46.5,38.88,2942,2348,1,1,52,52,2,50,52,2,0,2,1,False,,742,1468,False,False,1,,784,814,3260,142,50,50,Left,-0.014547533999999999,-0.081655614,-0.766492818,-0.493458389,-0.641764291,-1.221569991,3000.0,Free,"Correct, no change",4,8
33,1,5917,25245,37.22,48.5,614,220,-1,-1,50,50,0,50,50,0,1,1,1,False,,872,155,False,False,1,,468,1970,3794,56,50,50,Right,-0.913603602,-0.72629343,0.0054044440000000004,0.06320259,-2.120952716,2.245816789,3000.0,Free,"Incorrect, no change",3,3
36,1,2096,39883,36.17,46.87,779,219,1,1,50,50,1,48,50,2,0,2,3,False,,821,1194,False,False,1,,678,1186,4138,141,48,48,Left,-1.0153286959999999,-0.799231976,-0.125384801,-0.031117306,-0.641764291,-0.59120353,3000.0,Free,"Correct, no change",5,7
39,1,4894,3119,36.53,37.52,730,1945,-1,1,50,53,1,53,50,3,1,2,1,True,,663,482,False,True,1,,888,1500,4391,99,53,50,Left,-0.980451521,-0.774224475,-0.875617587,-0.572154744,0.09782992199999999,1.486258614,3000.0,Free,Incorrect to correct,4,5
41,2,1121,1969,59.13,61.9,1205,2394,1,1,50,50,2,50,46,4,0,1,2,True,,462,1441,True,True,1,,810,730,4701,159,46,46,Right,1.209060023,0.795690896,1.080604373,0.838593143,0.837424135,-1.3151226109999998,3000.0,Free,"Correct, no change",3,6
42,2,2251,5349,63.55,66.95,1912,895,1,1,50,50,1,50,47,3,0,1,3,True,,1211,930,True,True,1,,752,1121,4865,164,47,47,Left,1.637274228,1.102727442,1.485810316,1.1308112240000001,0.09782992199999999,-0.476118958,3000.0,Free,"Correct, no change",2,4
45,2,5276,2141,41.92,43.97,1758,539,1,1,50,50,2,48,50,2,0,2,2,False,,889,850,False,False,1,,726,1284,5299,141,48,48,Left,-0.458262706,-0.399806605,-0.35807732299999995,-0.19892570899999998,-0.641764291,1.7698863980000001,3000.0,Free,"Correct, no change",4,6
47,2,2774,3949,37.78,33.82,1246,4126,-1,-1,49,49,1,50,49,1,1,1,2,True,,947,1056,False,False,1,,624,1591,5510,64,50,50,Right,-0.8593502190000001,-0.687392872,-1.1725011490000001,-0.78625512,-1.3813585030000002,-0.087801338,3000.0,Free,"Incorrect, no change",5,9
48,2,1618,2240,50.15,64.42,328,1469,1,1,50,50,1,50,48,2,0,1,2,True,,794,1386,True,True,1,,802,904,5667,157,48,48,Right,0.33906826799999995,0.171892665,1.28280615,0.9844128590000001,-0.641764291,-0.9461094999999999,3000.0,Free,"Correct, no change",4,6
52,2,3991,2963,37.45,31.33,3116,979,-1,-1,50,50,0,50,50,0,1,1,2,False,,794,1575,False,True,1,,866,1194,6145,65,50,50,Left,-0.891320962,-0.710316415,-1.3722957630000001,-0.930338887,-2.120952716,0.815798172,3000.0,Free,"Incorrect, no change",5,5
59,2,2557,6301,35.27,39.67,402,910,1,1,53,53,1,50,53,3,0,1,2,False,,664,1356,False,False,1,,748,1004,6776,136,50,50,Right,-1.102521633,-0.86175073,-0.7031041659999999,-0.447745065,0.09782992199999999,-0.248919738,3000.0,Free,"Correct, no change",4,7
60,2,1805,1696,61.58,47.13,2207,363,1,1,53,53,2,50,53,3,0,1,2,False,,928,1282,False,False,1,,708,1078,6929,153,50,50,Left,1.446418576,0.965880837,-0.104522713,-0.016072414,0.09782992199999999,-0.8072655320000001,3000.0,Free,"Correct, no change",4,8
69,3,1532,3442,36.13,45.57,1975,2097,1,1,50,50,1,47,50,3,0,1,2,False,,908,1012,False,False,1,,766,1242,7984,140,47,47,Left,-1.0192039370000001,-0.802010588,-0.229695242,-0.10634176199999999,0.09782992199999999,-1.009962875,3000.0,Free,"Correct, no change",4,6
71,3,3152,1809,43.2,69.6,483,2807,1,1,54,54,1,54,50,4,0,2,3,True,,791,627,True,True,1,,834,1514,8241,155,50,50,Left,-0.334254972,-0.310891044,1.698443138,1.2841533859999998,0.837424135,0.192856522,3000.0,Free,"Correct, no change",3,6
75,3,1551,2393,57.02,64.67,4652,2388,1,1,50,50,1,45,50,5,0,1,2,False,,872,1222,False,False,1,,796,1052,8709,160,45,45,Left,1.004641025,0.649119152,1.302865851,0.998879101,1.5770183480000002,-0.995855734,3000.0,Free,"Correct, no change",4,6
77,3,3783,8819,20.77,32.83,335,477,1,1,50,50,1,50,46,4,0,1,2,True,,766,902,True,True,1,,794,1579,8994,126,46,46,Right,-2.507296739,-1.8689973180000001,-1.251937562,-0.8435414370000001,0.837424135,0.661362102,3000.0,Free,"Correct, no change",4,7
