participant,Trial,Block,RT1,RT2,Conf1,Conf2,Correct1,Correct2,Conf1_RT,Conf2_RT,DotNumberLeft,DotNumberRight,DotDifference,Switch,Left_Presentation_Time,Right_Presentation_Time,LeftTime,RightTime,NonAbsDiff,Response1,Response2,ZConf1,ZConf2,Zdifficult,ZNonAbsDiff,SamplingLength,Session,Type,ZSwitch,DeltaSampling,ZDeltaSampling,ChosenTime,UnchosenTime,Chosen_Presentation_Time,Unchosen_Presentation_Time,ConfChange,Left_IA_First_Dwell_Time,Right_IA_First_Dwell_Time,LeftTime_First,RightTime_First,Internal_Saccades
1,22,0,2.568,2.066,0.4342,0.4087,0,1,1.098,2.337,50,51,1,8,,,2.36,3.029,-1,left,right,-0.312941143,-0.606817605,-1.381358503,-0.305711318,7,Free,Incorrect to correct,3.152040089,-0.669,-0.681905143,2.36,3.029,,,-0.0255,788,743,0.788,0.743,14
1,24,0,2.057,2.527,0.527,0.4903,1,0,0.948,0.236,48,50,2,4,,,2.196,3.336,-2,right,left,0.586114925,0.047931008,-0.641764291,-0.56774959,7,Free,Correct to incorrect,0.722944974,-1.14,-1.239766004,3.336,2.196,,,-0.0367,848,698,0.848,0.698,19
1,26,0,1.327,2.774,0.3357,0.3433,0,1,1.403,2.668,50,48,2,4,,,3.297,2.44,2,right,left,-1.267219404,-1.131579361,-0.641764291,0.480403499,7,Free,Incorrect to correct,0.722944974,0.857,1.125516671,2.44,3.297,,,0.0076,632,904,0.632,0.904,18
1,27,0,4.659,5.497,0.3917,0.3725,1,1,1.342,1.308,47,50,3,2,,,2.174,1.89,-3,right,right,-0.72468557,-0.897282063,0.097829922,-0.829787862,5,Free,"Correct, no change",-0.491602583,0.284,0.446845177,1.89,2.174,,,-0.0192,756,824,0.756,0.824,12
1,28,0,3.863,2.128,0.4678,0.4025,1,0,1.107,2.293,47,50,3,3,,,2.09,1.793,-3,right,left,0.012579157,-0.656565661,0.097829922,-0.829787862,5,Free,Correct to incorrect,0.115671196,0.297,0.462242611,1.793,2.09,,,-0.0653,628,932,0.628,0.932,13
1,29,0,2.229,3.218,0.3998,0.5047,0,0,1.615,0.295,48,50,2,3,,,2.15,1.592,-2,left,left,-0.646211927,0.163474881,-0.641764291,-0.56774959,5,Free,"Incorrect, no change",0.115671196,0.558,0.7713757,2.15,1.592,,,0.1049,850,660,0.85,0.66,12
1,31,0,3.739,2.425,0.382,0.3368,1,1,1.716,1.073,47,50,3,5,,,3.086,2.478,-3,right,right,-0.818660181,-1.183734582,0.097829922,-0.829787862,7,Free,"Correct, no change",1.330218753,0.608,0.830596598,2.478,3.086,,,-0.0452,734,674,0.734,0.674,16
1,33,0,4.353,13.762,0.2915,0.4632,1,1,0.358,0.116,47,50,3,3,,,1.58,2.076,-3,right,right,-1.695433609,-0.169516141,0.097829922,-0.829787862,5,Free,"Correct, no change",0.115671196,-0.496,-0.477000835,2.076,1.58,,,0.1717,586,990,0.586,0.99,12
1,34,0,3.072,2.645,0.4658,0.3753,1,0,0.444,0.578,50,47,3,4,,,3.132,2.58,3,left,right,-0.006797051,-0.874815199,0.097829922,0.742441771,7,Free,Correct to incorrect,0.722944974,0.552,0.764269192,3.132,2.58,,,-0.0905,888,630,0.888,0.63,17
1,36,0,3.891,17.899,0.5258,0.6442,1,0,0.439,0.707,52,50,2,5,,,2.718,2.484,2,left,right,0.5744892,1.28280615,-0.641764291,0.480403499,7,Free,Correct to incorrect,1.330218753,0.234,0.387624279,2.718,2.484,,,0.1184,776,698,0.776,0.698,15
1,37,0,3.232,8.829,0.6678,0.6128,1,1,2.212,1.069,50,49,1,4,,,2.287,1.66,1,left,left,1.950199993,1.030856316,-1.381358503,0.218365227,5,Free,"Correct, no change",0.722944974,0.627,0.853100539,2.287,1.66,,,-0.055,852,725,0.852,0.725,11
1,39,0,5.262,2.784,0.467,0.484,0,1,2.561,0.73,52,50,2,4,,,1.854,2.018,2,right,left,0.004828674,-0.002619436,-0.641764291,0.480403499,5,Free,Incorrect to correct,0.722944974,-0.164,-0.083774071,2.018,1.854,,,0.017,874,764,0.874,0.764,11
1,40,0,3.704,2.169,0.4758,0.6072,1,1,1.056,2.037,53,50,3,2,,,3.552,1.589,3,left,left,0.090083991,0.985922588,0.097829922,0.742441771,7,Free,"Correct, no change",-0.491602583,1.963,2.43548294,3.552,1.589,,,0.1314,900,766,0.9,0.766,12
1,42,1,4.509,1.982,0.3588,0.3805,0,1,4.958,3.656,50,52,2,4,,,2.122,2.327,-2,left,right,-1.043424198,-0.833091023,-0.641764291,-0.56774959,5,Free,Incorrect to correct,0.722944974,-0.205,-0.132335207,2.122,2.327,,,0.0217,596,842,0.596,0.842,12
1,43,1,1.268,1.439,0.6465,0.6632,1,1,1.22,2.644,50,47,3,3,,,2.866,1.472,3,left,left,1.743843374,1.435259872,0.097829922,0.742441771,7,Free,"Correct, no change",0.115671196,1.394,1.761549118,2.866,1.472,,,0.0167,932,730,0.932,0.73,10
1,44,1,2.84,3.073,0.2888,0.3177,1,1,2.951,1.177,50,53,3,4,,,1.833,2.15,-3,right,right,-1.72159149,-1.336990691,0.097829922,-0.829787862,5,Free,"Correct, no change",0.722944974,-0.317,-0.264990019,2.15,1.833,,,0.0289,812,710,0.812,0.71,9
1,46,1,6.142,1.885,0.4963,0.489,1,0,2.52,0.413,50,53,3,7,,,3.07,2.455,-3,right,left,0.288690127,0.037499964,0.097829922,-0.829787862,7,Free,Correct to incorrect,2.54476631,0.615,0.838887524,2.455,3.07,,,-0.0073,785,818,0.785,0.818,14
1,47,1,1.495,2.861,0.561,0.6585,1,1,1.3,1.182,53,50,3,6,,,2.482,2.752,3,left,left,0.915510467,1.397547635,0.097829922,0.742441771,7,Free,"Correct, no change",1.937492532,-0.27,-0.209322375,2.482,2.752,,,0.0975,938,733,0.938,0.733,17
1,50,1,2.091,3.409,0.3873,0.3782,1,0,1.927,1.283,49,50,1,4,,,2.389,2.064,-1,right,left,-0.767313229,-0.851545947,-1.381358503,-0.305711318,5,Free,Correct to incorrect,0.722944974,0.325,0.495406314,2.064,2.389,,,-0.0091,592,994,0.592,0.994,12
1,51,1,1.524,8.855,0.397,0.456,1,0,1.696,0.6,51,50,1,3,,,1.748,2.212,1,left,right,-0.673338618,-0.227288078,-1.381358503,0.218365227,5,Free,Correct to incorrect,0.115671196,-0.464,-0.43909946,1.748,2.212,,,0.059,737,844,0.737,0.844,13
1,52,1,2.6,5.412,0.4117,0.5302,0,0,2.053,0.748,50,50,0,2,,,2.392,1.293,0,left,left,-0.530923487,0.368083823,-2.120952716,-0.043673045,5,Free,"Incorrect, no change",-0.491602583,1.099,1.412145819,2.392,1.293,,,0.1185,792,620,0.792,0.62,10
1,53,1,3.631,2.981,0.2807,0.2667,1,1,2.401,0.422,51,50,1,3,,,1.854,2.172,1,left,left,-1.800065134,-1.746208574,-1.381358503,0.218365227,5,Free,"Correct, no change",0.115671196,-0.318,-0.266174437,1.854,2.172,,,-0.014,806,846,0.806,0.846,12
1,54,1,3.26,7.285,0.409,0.3315,1,0,2.225,0.367,51,50,1,4,,,2.202,2.037,1,left,right,-0.557081368,-1.226261146,-1.381358503,0.218365227,5,Free,Correct to incorrect,0.722944974,0.165,0.30589944,2.202,2.037,,,-0.0775,740,875,0.74,0.875,11
1,56,1,0.946,3.798,0.3752,0.337,1,0,0.675,1.554,50,51,1,5,,,2.273,2.85,-1,right,left,-0.884539289,-1.182129806,-1.381358503,-0.305711318,7,Free,Correct to incorrect,1.330218753,-0.577,-0.57293869,2.85,2.273,,,-0.0382,1056,733,1.056,0.733,16
1,57,1,2.794,3.373,0.3723,0.4342,0,1,0.657,0.394,50,49,1,5,,,2.169,3.276,1,right,left,-0.912634791,-0.402208663,-1.381358503,0.218365227,7,Free,Incorrect to correct,1.330218753,-1.107,-1.200680211,3.276,2.169,,,0.0619,586,968,0.586,0.968,14
1,59,1,1.975,1.671,0.48,0.4295,0,0,1.628,2.438,50,52,2,6,,,2.782,2.84,-2,left,left,0.130774028,-0.4399209,-0.641764291,-0.56774959,7,Free,"Incorrect, no change",1.937492532,-0.058,0.041774234,2.782,2.84,,,-0.0505,726,808,0.726,0.808,17
1,60,1,2.383,4.271,0.4633,0.4405,1,0,0.315,0.319,50,47,3,6,,,2.634,3.056,3,left,right,-0.031017311,-0.351658219,0.097829922,0.742441771,7,Free,Correct to incorrect,1.937492532,-0.422,-0.389353905,2.634,3.056,,,-0.0228,576,1004,0.576,1.004,20
1,62,1,2.937,2.794,0.4618,0.5703,1,1,0.543,0.867,50,46,4,4,,,2.148,1.472,4,left,left,-0.045549468,0.689841414,0.837424135,1.004480043,5,Free,"Correct, no change",0.722944974,0.676,0.91113702,2.148,1.472,,,0.1085,798,713,0.798,0.713,8
1,65,2,4.762,15.457,0.4868,0.4722,1,1,2.948,0.098,50,53,3,4,,,1.626,2.746,-3,right,right,0.196653137,-0.097301221,0.097829922,-0.829787862,7,Free,"Correct, no change",0.722944974,-1.12,-1.216077645,2.746,1.626,,,-0.0146,878,658,0.878,0.658,11
1,66,2,3.486,4.223,0.469,0.4712,1,1,1.15,0.902,50,52,2,2,,,1.256,2.644,-2,right,right,0.024204883,-0.105325101,-0.641764291,-0.56774959,5,Free,"Correct, no change",-0.491602583,-1.388,-1.533501659,2.644,1.256,,,0.0022,773,834,0.773,0.834,12
1,68,2,1.273,1.673,0.4685,0.4847,1,1,0.647,2.469,51,50,1,4,,,3.178,2.699,1,left,left,0.01936083,0.00299728,-1.381358503,0.218365227,7,Free,"Correct, no change",0.722944974,0.479,0.677806681,3.178,2.699,,,0.0162,934,645,0.934,0.645,15
1,71,2,1.546,9.155,0.544,0.459,1,0,0.644,0.076,50,48,2,2,,,2.794,1.414,2,left,right,0.750812696,-0.203216438,-0.641764291,0.480403499,5,Free,Correct to incorrect,-0.491602583,1.38,1.744967267,2.794,1.414,,,-0.085,646,788,0.646,0.788,14
1,72,2,1.46,2.314,0.5338,0.552,1,1,1.958,0.469,51,50,1,4,,,2.884,3.018,1,left,left,0.651994033,0.543004408,-1.381358503,0.218365227,7,Free,"Correct, no change",0.722944974,-0.134,-0.048241532,2.884,3.018,,,0.0182,824,759,0.824,0.759,16
1,73,2,1.605,2.317,0.5893,0.5487,1,1,0.781,0.601,50,49,1,4,,,2.124,1.726,1,left,left,1.189683815,0.516525604,-1.381358503,0.218365227,5,Free,"Correct, no change",0.722944974,0.398,0.581868825,2.124,1.726,,,-0.0406,882,727,0.882,0.727,11
1,75,2,4.437,41.699,0.3582,0.4875,1,0,2.208,0.091,51,50,1,4,,,2.648,3.208,1,left,right,-1.04923706,0.025464144,-1.381358503,0.218365227,7,Free,Correct to incorrect,0.722944974,-0.56,-0.552803585,2.648,3.208,,,0.1293,985,730,0.985,0.73,19
1,76,2,4.096,3.913,0.3623,0.4332,1,1,1.235,1.941,49,50,1,4,,,1.966,1.875,-1,right,right,-1.009515833,-0.410232543,-1.381358503,-0.305711318,5,Free,"Correct, no change",0.722944974,0.091,0.21825251,1.875,1.966,,,0.0709,535,948,0.535,0.948,11
1,77,2,3.946,2.213,0.452,0.4542,0,0,1.541,1.213,50,50,0,2,,,2.568,3.112,0,left,right,-0.140492889,-0.241731062,-2.120952716,-0.043673045,7,Free,"Incorrect, no change",-0.491602583,-0.544,-0.533852897,2.568,3.112,,,0.0022,948,701,0.948,0.701,15
1,78,2,2.498,3.758,0.4267,0.4952,1,0,1.709,2.062,51,50,1,6,,,3.333,2.262,1,left,right,-0.385601924,0.087248021,-1.381358503,0.218365227,7,Free,Correct to incorrect,1.937492532,1.071,1.378982116,3.333,2.262,,,0.0685,870,598,0.87,0.598,15
1,79,2,3.338,1.594,0.4218,0.4638,0,0,0.444,1.621,51,50,1,4,,,2.238,1.68,1,right,right,-0.433073635,-0.164701813,-1.381358503,0.218365227,5,Free,"Incorrect, no change",0.722944974,0.558,0.7713757,1.68,2.238,,,0.042,888,739,0.888,0.739,11
