BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
0,2568,2066,43.42,40.87,1098,2337,-1,1,50,51,0,50,51,1,1,1,8,FALSE,,788,2360,TRUE,FALSE,1,,743,3029,98,98,51,50,Left,-0.312941143,-0.295608682,-0.606817605,-0.378307106,-1.381358503,-0.240752446,7000,Free,Incorrect to correct,5,14
0,1660,1888,56.7,68.67,951,227,1,1,52,52,1,52,50,2,0,1,2,TRUE,,678,1182,TRUE,TRUE,1,,830,920,260,162,50,50,Right,0.973639092,0.626890261,1.623821053,1.230338967,-0.641764291,-0.914925293,3000,Free,"Correct, no change",5,8
0,2057,2527,52.7,49.03,948,236,1,-1,50,48,2,48,50,2,0,1,4,FALSE,,848,2196,FALSE,TRUE,1,,698,3336,361,101,48,50,Right,0.586114925,0.349029134,0.047931008,0.093871022,-0.641764291,-0.620160293,7000,Free,Correct to incorrect,5,19
0,2721,3609,67.68,69.9,1377,499,-1,-1,49,49,0,49,50,1,1,1,1,FALSE,,566,1162,TRUE,TRUE,1,,672,950,392,31,50,50,Right,2.037392931,1.389619057,1.722514778,1.301512876,-1.381358503,-0.127152836,3000,Free,"Incorrect, no change",3,8
0,1327,2774,33.57,34.33,1403,2668,-1,1,48,50,0,50,48,2,1,1,4,TRUE,,632,3297,FALSE,TRUE,1,,904,2440,492,100,50,48,Left,-1.267219404,-0.979841709,-1.131579361,-0.756743987,-0.641764291,-1.162171502,7000,Free,Incorrect to correct,4,18
0,4659,5497,39.17,37.25,1342,1308,1,1,50,50,1,47,50,3,0,1,2,FALSE,,756,2174,FALSE,FALSE,1,,824,1890,629,137,47,47,Right,-0.72468557,-0.590836131,-0.897282063,-0.587778285,0.097829922,1.311775553,5000,Free,"Correct, no change",3,12
0,3863,2128,46.78,40.25,1107,2293,1,-1,50,47,2,47,50,3,0,1,3,FALSE,,628,2090,FALSE,TRUE,1,,932,1793,731,102,47,50,Left,0.012579157,-0.062205335,-0.656565661,-0.414183385,0.097829922,0.72076059,5000,Free,Correct to incorrect,5,13
0,2229,3218,39.98,50.47,1615,295,-1,-1,48,48,0,48,50,2,1,1,3,FALSE,,850,2150,TRUE,TRUE,1,,660,1592,785,54,50,50,Right,-0.646211927,-0.534569252,0.163474881,0.177196574,-0.641764291,-0.492453542,5000,Free,"Incorrect, no change",4,12
0,2586,2190,56.2,59.97,952,1351,1,1,53,53,1,53,50,3,0,1,1,TRUE,,874,940,TRUE,TRUE,1,,742,1305,942,157,50,50,Left,0.925198571,0.59215762,0.925743488,0.726913757,0.097829922,-0.227387786,3000,Free,"Correct, no change",6,8
0,3739,2425,38.2,33.68,1716,1073,1,1,50,50,2,47,50,3,0,2,5,FALSE,,734,3086,FALSE,FALSE,1,,674,2478,1077,135,47,47,Right,-0.818660181,-0.658217454,-1.183734582,-0.794356216,0.097829922,0.628692933,7000,Free,"Correct, no change",4,16
