,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second,RightFirst,Left_IA_Second_Dwell_Time_REVISED,Right_IA_Second_Dwell_Time_REVISED,Left_Gazetime_New,Right_Gazetime_New,LeftLonger,LEFT_PRESENTATION_TIME_REV,RIGHT_PRESENTATION_TIME_REV
0,0,1656,913,47.95,40.28,827,1078,1,-1,50,46,1,50,46,4,0,1,3,True,5250,727,1618,True,False,1,1750,796,3520,146,102,46,50,Left,-0.042585374,0.019069045,-0.29096419,-0.412447436,0.011777391000000002,-0.120969384,,Fixed,Correct to incorrect,4,12,0,1618.0,3520.0,1618,3587,99,1750.0,5250.0
1,0,1186,1435,57.38,61.25,1316,1240,1,1,50,50,2,50,46,4,0,1,1,True,1750,882,4072,True,True,1,5250,500,2236,304,158,46,46,Left,0.49614381,0.674126653,0.7079317159999999,0.800980915,0.011777391000000002,-0.596413509,,Fixed,"Correct, no change",3,19,0,4072.0,2236.0,0,2464,99,5250.0,1750.0
2,0,1941,3974,38.38,57.08,1517,1126,1,-1,50,47,1,47,50,3,0,1,1,False,1500,942,1093,False,True,1,1500,673,1366,394,90,47,50,Right,-0.589312658,-0.645713703,0.509295763,0.559684004,-0.54764869,0.167331841,,Fixed,Correct to incorrect,5,6,1,1366.0,1093.0,1957,1366,99,1500.0,1500.0
3,0,2165,1187,53.45,40.6,1329,647,1,1,53,53,2,53,50,3,0,1,2,True,1250,884,1595,True,True,1,3750,732,1412,540,146,50,50,Right,0.271625709,0.401128095,-0.275721143,-0.393930647,-0.54764869,0.39392648799999996,,Fixed,"Correct, no change",4,7,1,1412.0,1595.0,0,1412,99,3750.0,1250.0
4,0,1050,1186,72.92,86.62,1262,1507,1,1,52,52,1,52,50,2,0,1,2,True,3750,446,1392,True,True,1,1250,816,2220,719,179,50,50,Right,1.383932943,1.753617134,1.916419514,2.269015118,-1.107074771,-0.7339888309999999,,Fixed,"Correct, no change",3,8,1,2220.0,1392.0,1637,2220,99,1250.0,3750.0
5,0,1401,893,59.92,68.85,1183,2216,1,1,52,52,2,52,50,2,0,1,1,True,5250,630,1518,True,True,1,1750,792,1576,882,163,50,50,Left,0.641252201,0.850568469,1.069954076,1.240754661,-1.107074771,-0.378923112,,Fixed,"Correct, no change",4,6,0,1518.0,1576.0,1584,1576,99,1750.0,5250.0
6,0,1233,1721,45.13,53.22,700,830,1,1,51,51,1,50,51,1,0,1,4,False,750,908,1638,False,False,1,2250,741,1478,1030,148,50,50,Right,-0.20368996600000003,-0.17682305,0.325426512,0.33632523200000003,-1.666500852,-0.5488690970000001,,Fixed,"Correct, no change",4,4,1,1478.0,1638.0,1638,1683,99,2250.0,750.0
7,0,2534,2259,56.33,45.0,3165,2524,1,-1,51,50,2,51,50,1,0,1,3,True,750,942,1524,True,False,1,2250,542,1657,1135,105,50,51,Left,0.43615805799999996,0.601188107,-0.066129251,-0.139324793,-1.666500852,0.7672007059999999,,Fixed,Correct to incorrect,2,7,0,1524.0,1657.0,1524,2038,99,2250.0,750.0
8,0,1683,1658,66.08,75.75,14223,1447,-1,-1,50,50,0,50,50,0,1,1,3,False,3500,578,3147,True,True,1,3500,848,2564,1163,28,50,50,Right,0.993168614,1.2784746059999998,1.3986322709999999,1.6400229309999999,-2.225926933,-0.093656636,,Fixed,"Incorrect, no change",3,11,1,2564.0,3147.0,3683,2564,99,3500.0,3500.0
9,0,2509,1326,62.48,49.73,1011,697,1,-1,50,49,1,50,49,1,0,1,1,True,1500,572,1374,True,False,1,1500,842,1116,1269,106,49,50,Left,0.7875031779999999,1.028399591,0.159182034,0.134376499,-1.666500852,0.741911125,,Fixed,Correct to incorrect,3,5,0,1374.0,1116.0,1374,1182,99,1500.0,1500.0
