subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
1,22,2066.0,1,5.0,5.1,0.4379291148636111,0.562070885136389
1,24,2526.9999999999995,0,4.8,5.0,0.39696312364425157,0.6030368763557484
1,26,2773.9999999999995,0,5.0,4.8,0.5746906048457381,0.4253093951542618
1,27,5497.000000000001,1,4.7,5.0,0.5349409448818897,0.4650590551181102
1,28,2128.0,0,4.7,5.0,0.5382436260623229,0.4617563739376771
1,29,3218.0,0,4.8,5.0,0.5745590593265633,0.42544094067343663
1,31,2425.0,1,4.7,5.0,0.5546369518332136,0.4453630481667865
1,33,13762.0,1,4.7,5.0,0.43216630196936545,0.5678336980306345
1,34,2645.0,1,5.0,4.7,0.5483193277310924,0.45168067226890757
1,36,17899.0,1,5.2,5.0,0.5224913494809689,0.47750865051903113
1,37,8829.0,0,5.0,4.9,0.5794274132252343,0.4205725867747656
1,39,2784.0,0,5.2,5.0,0.47882231404958675,0.5211776859504132
1,40,2169.0,0,5.3,5.0,0.6909161641703949,0.30908383582960514
1,42,1982.0,1,5.0,5.2,0.4769611148572713,0.5230388851427287
1,43,1439.0,0,5.0,4.7,0.6606731212540341,0.3393268787459659
1,44,3073.0,1,5.0,5.3,0.46020587496861665,0.5397941250313834
1,46,1885.0,0,5.0,5.3,0.555656108597285,0.4443438914027149
1,47,2861.0,0,5.3,5.0,0.47420710737485666,0.5257928926251433
1,50,3409.0,0,4.9,5.0,0.5364922524141029,0.46350774758589713
1,51,8855.0,1,5.1,5.0,0.4414141414141415,0.5585858585858585
1,52,5412.000000000001,0,5.0,5.0,0.6491180461329714,0.35088195386702853
1,53,2981.0000000000005,0,5.1,5.0,0.4605067064083458,0.5394932935916542
1,54,7285.0,1,5.1,5.0,0.5194621372965322,0.4805378627034678
1,56,3798.0,0,5.0,5.1,0.44368534062073006,0.5563146593792699
1,57,3373.0,0,5.0,4.9,0.3983471074380165,0.6016528925619835
1,59,1671.0,0,5.0,5.2,0.49484169334756317,0.5051583066524369
1,60,4271.0,1,5.0,4.7,0.4629173989455185,0.5370826010544816
1,62,2793.9999999999995,0,5.0,4.6,0.5933701657458563,0.4066298342541436
1,65,15457.0,1,5.0,5.3,0.3719121683440073,0.6280878316559928
1,66,4223.0,1,5.0,5.2,0.3220512820512821,0.6779487179487179
1,68,1673.0,0,5.1,5.0,0.5407520843968011,0.4592479156031989
1,71,9155.0,1,5.0,4.8,0.6639733840304182,0.3360266159695818
1,72,2314.0,0,5.1,5.0,0.48864791596069124,0.5113520840393088
1,73,2316.9999999999995,0,5.0,4.9,0.5516883116883117,0.4483116883116883
1,75,41699.0,1,5.1,5.0,0.45218579234972683,0.5478142076502732
1,76,3913.0000000000005,1,4.9,5.0,0.5118458734704504,0.4881541265295496
1,77,2213.0,1,5.0,5.0,0.45211267605633804,0.547887323943662
1,78,3758.0,1,5.1,5.0,0.595710455764075,0.4042895442359249
1,79,1594.0,1,5.1,5.0,0.5712098009188361,0.42879019908116384
1,80,1591.0,1,5.2,5.0,0.3760726905603231,0.623927309439677
1,83,2950.0,0,5.2,5.0,0.4685610640870617,0.5314389359129383
1,84,3256.9999999999995,0,5.0,4.8,0.3652588796607174,0.6347411203392826
1,85,1929.0,0,5.0,4.9,0.6362957430918595,0.36370425690814046
1,86,4291.0,1,4.9,5.0,0.4155520290183632,0.5844479709816368
1,87,2474.0,0,5.0,5.0,0.6995065509613749,0.3004934490386251
1,88,3438.0,0,5.0,5.1,0.6131351869606902,0.38686481303930964
1,89,3832.0,0,5.2,5.0,0.6834747878182725,0.3165252121817274
1,90,2739.0,0,5.0,4.8,0.5944967414916728,0.4055032585083273
1,92,2480.0,1,5.0,5.3,0.31439146527324185,0.685608534726758
1,94,3680.0,0,4.6,5.0,0.48068876729964594,0.519311232700354
1,95,2349.0,0,5.3,5.0,0.4539921231650555,0.5460078768349445
1,96,13523.0,1,4.6,5.0,0.5922298924385937,0.40777010756140636
1,98,2838.0,1,4.5,5.0,0.4273661041819516,0.5726338958180484
1,101,14474.0,1,4.5,5.0,0.3648315529991783,0.6351684470008216
1,102,4036.0000000000005,1,4.5,5.0,0.43162175902389427,0.5683782409761057
1,103,5249.0,1,4.4,5.0,0.20522235822113422,0.7947776417788658
1,106,3666.0000000000005,0,5.5,5.0,0.5359565807327001,0.46404341926729986
1,107,1713.0,0,5.0,4.6,0.5181737588652482,0.4818262411347517
1,108,2675.0,0,5.0,4.6,0.35502049180327866,0.6449795081967213
1,110,1267.0000000000002,0,5.0,4.7,0.7330806713589605,0.2669193286410395
1,114,5338.999999999999,0,5.4,5.0,0.5007422068283028,0.4992577931716973
1,115,1656.9999999999998,0,5.4,5.0,0.4101499423298731,0.5898500576701269
1,116,1916.0,0,5.3,5.0,0.5575221238938053,0.44247787610619466
1,117,1007.0000000000001,0,5.3,5.0,0.5954773869346733,0.4045226130653266
1,119,1331.9999999999998,1,5.0,5.4,0.4451612903225807,0.5548387096774194
1,121,1391.0,0,5.0,4.7,0.49101649027811956,0.5089835097218803
1,122,1405.0,1,4.6,5.0,0.35902585990459457,0.6409741400954055
1,123,2034.0000000000002,1,4.6,5.0,0.4541535400431106,0.5458464599568894
1,124,2005.9999999999998,1,5.0,4.7,0.47273313972249115,0.5272668602775089
1,125,2209.0,1,5.0,5.3,0.4537053182214473,0.5462946817785528
1,128,2705.0,1,5.0,5.3,0.5841775205016884,0.41582247949831164
1,129,2054.0000000000005,0,5.4,5.0,0.5358181337562781,0.464181866243722
1,132,4536.000000000001,1,4.7,5.0,0.5092997811816192,0.4907002188183808
1,135,2131.0,1,4.7,5.0,0.4495125348189415,0.5504874651810585
1,137,983.0,0,5.2,5.0,0.6131105398457584,0.38688946015424164
1,138,2467.0,0,5.3,5.0,0.36652719665271966,0.6334728033472804
1,139,1894.0000000000002,1,4.7,5.0,0.4724186704384724,0.5275813295615276
1,140,1739.0,1,5.0,5.2,0.416582406471183,0.583417593528817
1,141,4622.0,1,4.7,5.0,0.39746597841389014,0.6025340215861098
1,143,2188.0,0,5.0,4.6,0.5265295760345264,0.47347042396547345
1,144,2378.0,0,5.3,5.0,0.43340455840455844,0.5665954415954416
1,145,1755.0,0,4.7,5.0,0.4748249416472158,0.5251750583527842
1,146,1643.0,0,5.0,5.2,0.6321543408360127,0.36784565916398715
1,147,1800.0,0,4.7,5.0,0.4774328202452387,0.5225671797547613
1,148,1962.0,0,5.0,4.6,0.43156028368794325,0.5684397163120567
1,149,2148.0,0,4.6,5.0,0.4190609670637701,0.5809390329362298
1,150,2907.0,0,5.3,5.0,0.4337595907928388,0.5662404092071611
1,151,1795.0,0,5.3,5.0,0.43054869006426094,0.569451309935739
1,153,1781.0,0,5.0,4.8,0.5192666779833645,0.48073332201663554
1,154,1446.9999999999998,0,5.0,4.9,0.4627793648126365,0.5372206351873635
1,157,1655.0,0,5.3,5.0,0.4089887640449439,0.5910112359550562
1,158,1787.0,0,5.0,4.8,0.3987583572110792,0.6012416427889207
1,160,1723.0,1,5.0,5.1,0.3603904443873619,0.6396095556126381
1,161,1426.0,0,5.0,5.2,0.4078879086663207,0.5921120913336793
1,162,1337.0,0,5.0,5.2,0.5049708604730888,0.49502913952691124
1,163,902.0,0,5.3,5.0,0.5455787624438805,0.4544212375561195
1,166,2635.0,1,4.6,5.0,0.43652743652743653,0.5634725634725635
1,167,822.0000000000001,0,5.3,5.0,0.6202661207778914,0.3797338792221085
1,169,2356.9999999999995,0,5.0,4.6,0.4484052532833021,0.551594746716698
1,170,4426.0,1,5.0,5.3,0.3398084815321477,0.6601915184678523
1,171,1538.0,0,5.0,4.7,0.6902145473574045,0.30978545264259555
1,172,3384.0,1,5.0,5.2,0.34677608440797186,0.6532239155920281
1,173,3643.9999999999995,0,5.2,5.0,0.6268364348677767,0.3731635651322234
1,176,2575.0,0,5.2,5.0,0.4941017863161443,0.5058982136838558
1,181,2123.0,0,5.1,5.0,0.46325878594249204,0.536741214057508
1,182,2851.0000000000005,1,5.0,4.8,0.32217194570135743,0.6778280542986425
1,184,1709.0,1,5.0,5.3,0.5553246753246752,0.44467532467532467
1,185,1425.0,0,5.0,4.6,0.4068426924507252,0.5931573075492748
1,186,1755.0,0,5.5,5.0,0.5035547078203573,0.49644529217964284
1,187,1560.0,0,5.0,4.5,0.6204715353651524,0.3795284646348477
1,188,3022.0,0,5.0,4.6,0.5526019373732823,0.4473980626267177
1,189,1694.0,0,4.5,5.0,0.6264971889513566,0.37350281104864336
1,191,1909.0,0,5.0,4.6,0.5234225621414914,0.4765774378585086
1,194,1703.0,0,5.0,4.7,0.5268667131891137,0.4731332868108863
1,195,1531.0,1,5.0,5.4,0.5063686613794761,0.49363133862052405
1,196,3033.0,1,4.5,5.0,0.376117959874305,0.6238820401256949
1,199,1748.0000000000002,1,4.6,5.0,0.36980033277870217,0.6301996672212978
1,200,1503.0,1,5.0,5.3,0.5149896111605817,0.4850103888394182
1,201,1253.0,0,5.0,4.6,0.5683785343335256,0.4316214656664743
1,204,1855.0,0,5.0,4.4,0.39286974938228025,0.6071302506177196
1,205,2853.9999999999995,1,4.5,5.0,0.5177380634835956,0.4822619365164044
1,206,1501.9999999999998,0,5.0,5.5,0.6241338516139936,0.37586614838600646
1,207,5577.999999999999,0,5.4,5.0,0.4688005754360726,0.5311994245639273
1,208,1436.0,1,5.0,4.6,0.44061302681992337,0.5593869731800767
1,209,1338.0,0,5.5,5.0,0.4619422572178478,0.5380577427821522
1,210,4417.0,0,5.5,5.0,0.49796057104010877,0.5020394289598912
2,23,1402.0,1,4.8,5.0,0.38876184253511925,0.6112381574648807
2,24,1219.0,1,4.8,5.0,0.5979326795653326,0.40206732043466736
2,27,1455.0,1,5.0,5.2,0.4354644149577805,0.5645355850422196
2,28,1541.9999999999998,0,5.2,5.0,0.43626943005181346,0.5637305699481865
2,29,1506.0,1,5.0,4.9,0.4282862845737097,0.5717137154262903
2,30,1821.9999999999998,0,5.0,5.1,0.5329525483304043,0.4670474516695958
2,31,1117.0,1,4.8,5.0,0.4054852320675105,0.5945147679324895
2,32,2371.0,1,4.8,5.0,0.4477172312223858,0.5522827687776141
2,34,1337.0,1,4.9,5.0,0.37548103353490925,0.6245189664650906
2,36,1345.0,0,5.0,5.1,0.5036785512167516,0.49632144878324846
2,37,1173.0,0,5.0,5.1,0.5035516969218626,0.49644830307813725
2,38,1495.0,1,5.0,5.2,0.41090065713181295,0.5890993428681871
2,40,1409.0,1,5.0,5.3,0.5081285444234405,0.49187145557655954
2,42,1510.0,1,5.0,4.8,0.5075738763347405,0.4924261236652595
2,46,1950.9999999999998,0,5.0,5.2,0.4775221238938053,0.5224778761061947
2,47,1595.0,0,5.0,5.1,0.4984144749113972,0.5015855250886029
2,48,1631.0,0,5.2,5.0,0.4801200300075019,0.5198799699924981
2,50,1729.0,0,5.0,5.3,0.37101607191500946,0.6289839280849905
2,51,2076.0,1,4.6,5.0,0.496691319579603,0.5033086804203971
2,54,1222.9999999999998,0,5.4,5.0,0.6087115666178623,0.3912884333821376
2,55,1888.0000000000002,0,5.5,5.0,0.5231304347826087,0.4768695652173913
2,56,1514.0,1,4.5,5.0,0.4810738255033557,0.5189261744966444
2,57,1436.0,1,4.6,5.0,0.43154543228018616,0.5684545677198138
2,58,1273.0,1,4.6,5.0,0.4057279236276849,0.594272076372315
2,59,1909.0,0,5.3,5.0,0.541978387364921,0.45802161263507896
2,60,2249.0,0,5.3,5.0,0.594879157693228,0.4051208423067719
2,61,1225.0,1,4.8,5.0,0.5474518686296715,0.45254813137032845
2,62,1656.0,1,5.2,5.0,0.34390485629335976,0.6560951437066402
2,65,1449.0,0,5.2,5.0,0.4947619047619048,0.5052380952380952
2,67,1128.0,0,5.0,4.7,0.5436807095343681,0.456319290465632
2,69,1609.0,1,4.6,5.0,0.6023856858846919,0.3976143141153082
2,70,2066.0,1,5.0,5.4,0.40165215449877206,0.598347845501228
2,71,1247.0,1,5.3,5.0,0.5309142993554548,0.46908570064454524
2,72,1885.0,1,5.0,5.4,0.43162393162393164,0.5683760683760685
2,73,1360.0,1,4.6,5.0,0.5024630541871921,0.4975369458128079
2,75,1531.0,1,5.0,5.3,0.31092012133468144,0.6890798786653185
2,76,1335.9999999999998,1,4.8,5.0,0.5642729363659597,0.43572706363404035
2,77,1578.0,1,5.2,5.0,0.4241277847835225,0.5758722152164775
2,80,1683.0,0,5.4,5.0,0.6138007790762381,0.3861992209237618
2,81,1396.9999999999998,0,5.0,4.7,0.6225218080888184,0.3774781919111816
2,82,1754.0,0,5.0,4.7,0.4498207885304659,0.550179211469534
2,84,1829.0,0,5.0,4.7,0.5888000000000001,0.41119999999999995
2,89,1242.0,0,5.0,4.7,0.551660999215276,0.44833900078472405
2,90,1440.0,1,5.0,4.8,0.5106582337784025,0.48934176622159753
2,91,1650.0,1,5.0,5.3,0.44873538210497693,0.5512646178950231
2,92,1686.0,1,4.7,5.0,0.5164285714285715,0.48357142857142865
2,93,1426.9999999999998,1,5.0,5.2,0.5514051938811811,0.4485948061188189
2,94,1319.0,0,5.0,5.2,0.5869639794168096,0.4130360205831904
2,95,1364.0,1,4.9,5.0,0.2474052107604321,0.7525947892395679
2,96,1056.0,0,5.0,5.1,0.5895634721525339,0.41043652784746615
2,97,1630.0,1,5.2,5.0,0.37155388471177947,0.6284461152882206
2,98,1394.0000000000002,1,5.3,5.0,0.5286591606960083,0.47134083930399184
