subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
1,0,2066.0,1,5.0,5.1,0.25,0.75,Free,0.25,0.75,22
1,1,2526.9999999999995,0,4.8,5.0,0.25,0.75,Free,0.25,0.75,24
1,2,2773.9999999999995,0,5.0,4.8,0.75,0.25,Free,0.75,0.25,26
1,3,5497.000000000001,1,4.7,5.0,0.75,0.25,Free,0.75,0.25,27
1,4,2128.0,0,4.7,5.0,0.75,0.25,Free,0.75,0.25,28
1,5,3218.0,0,4.8,5.0,0.75,0.25,Free,0.75,0.25,29
1,6,2425.0,1,4.7,5.0,0.75,0.25,Free,0.75,0.25,31
1,7,13762.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,33
1,8,2645.0,1,5.0,4.7,0.75,0.25,Free,0.75,0.25,34
1,9,17899.0,1,5.2,5.0,0.5,0.5,Free,0.5,0.5,36
1,10,8829.0,0,5.0,4.9,0.75,0.25,Free,0.75,0.25,37
1,11,2784.0,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,39
1,12,2169.0,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,40
1,13,1982.0,1,5.0,5.2,0.5,0.5,Free,0.5,0.5,42
1,14,1439.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,43
1,15,3073.0,1,5.0,5.3,0.5,0.5,Free,0.5,0.5,44
1,16,1885.0,0,5.0,5.3,0.75,0.25,Free,0.75,0.25,46
1,17,2861.0,0,5.3,5.0,0.5,0.5,Free,0.5,0.5,47
1,18,3409.0,0,4.9,5.0,0.75,0.25,Free,0.75,0.25,50
1,19,8855.0,1,5.1,5.0,0.25,0.75,Free,0.25,0.75,51
1,20,5412.000000000001,0,5.0,5.0,0.75,0.25,Free,0.75,0.25,52
1,21,2981.0000000000005,0,5.1,5.0,0.5,0.5,Free,0.5,0.5,53
1,22,7285.0,1,5.1,5.0,0.5,0.5,Free,0.5,0.5,54
1,23,3798.0,0,5.0,5.1,0.25,0.75,Free,0.25,0.75,56
1,24,3373.0,0,5.0,4.9,0.25,0.75,Free,0.25,0.75,57
1,25,1671.0,0,5.0,5.2,0.5,0.5,Free,0.5,0.5,59
1,26,4271.0,1,5.0,4.7,0.5,0.5,Free,0.5,0.5,60
