,b,p_error,v,gamma,SNR,s,tau,t0
0,1.0,0.05000000074505806,7.7e-05,0.96,116.58,0.010113,1.39,[0.]
1,1.0,0.05000000074505806,0.000115,0.97,39.93,0.004683,0.47,[0.]
2,1.0,0.05000000074505806,9.7e-05,0.97,51.49,0.005011,0.42,[0.]
3,1.0,0.05000000074505806,5.4e-05,0.94,95.75,0.006682,1.29,[0.]
4,1.0,0.05000000074505806,7.1e-05,0.99,130.32,0.010295,0.62,[0.]
5,1.0,0.05000000074505806,0.000103,0.94,51.53,0.005312,0.3,[0.]
6,1.0,0.05000000074505806,2.9e-05,0.99,333.64,0.010023,4.99,[0.]
7,1.0,0.05000000074505806,6.2e-05,0.99,100.37,0.007236,1.65,[0.]
8,1.0,0.05000000074505806,0.000126,0.98,41.84,0.005301,0.36,[0.]
9,1.0,0.05000000074505806,5.6e-05,0.99,153.03,0.008381,1.41,[0.]
10,1.0,0.05000000074505806,0.000117,0.97,43.65,0.005125,0.51,[0.]
11,1.0,0.05000000074505806,8.8e-05,0.99,105.22,0.00949,1.26,[0.]
12,1.0,0.05000000074505806,9e-05,0.99,84.64,0.009264,1.14,[0.]
13,1.0,0.05000000074505806,0.000106,0.99,47.3,0.005541,0.67,[0.]
14,1.0,0.05000000074505806,0.000144,0.99,42.83,0.006233,0.32,[0.]
15,1.0,0.05000000074505806,0.000113,0.96,51.33,0.005801,0.65,[0.]
16,1.0,0.05000000074505806,7.2e-05,0.98,109.31,0.011431,1.22,[0.]
17,1.0,0.05000000074505806,4.6e-05,0.97,202.82,0.011926,1.75,[0.]
