,SNR,b,gamma,p_error,s,t0,tau,v
0,184.94,1.0,0.87,0.05000000074505806,0.008576,[0.],3.94,4.9e-05
1,45.78,1.0,0.94,0.05000000074505806,0.004716,[0.],0.41,0.000108
2,55.03,1.0,0.99,0.05000000074505806,0.00478,[0.],0.82,7.8e-05
3,148.43,1.0,0.44,0.05000000074505806,0.008625,[0.],0.63,4.6e-05
4,123.27,1.0,0.93,0.05000000074505806,0.009921,[0.],1.03,7.5e-05
5,46.33,1.0,0.84,0.05000000074505806,0.005126,[0.],0.26,0.000121
6,257.48,1.0,0.43,0.05000000074505806,0.009991,[0.],2.58,3.2e-05
7,48.61,1.0,0.85,0.05000000074505806,0.004439,[0.],0.7,9e-05
8,30.61,1.0,0.9,0.05000000074505806,0.002934,[0.],0.38,0.000125
9,64.58,1.0,0.97,0.05000000074505806,0.005115,[0.],0.73,7.8e-05
10,90.24,1.0,0.71,0.05000000074505806,0.007802,[0.],0.98,8.7e-05
11,183.54,1.0,0.65,0.05000000074505806,0.011798,[0.],1.29,6.2e-05
12,107.55,1.0,0.99,0.05000000074505806,0.013294,[0.],0.72,0.000129
13,58.9,1.0,0.98,0.05000000074505806,0.006066,[0.],1.27,9.8e-05
14,46.55,1.0,0.93,0.05000000074505806,0.006532,[0.],0.89,0.000126
15,92.5,1.0,0.71,0.05000000074505806,0.008315,[0.],4.16,6.8e-05
16,156.86,1.0,0.94,0.05000000074505806,0.010237,[0.],2.76,5.2e-05
17,331.01,1.0,0.61,0.05000000074505806,0.010782,[0.],2.43,2.9e-05
