,SNR,b,gamma,p_error,s,t0,tau,v
0,155.95,1.0,0.94,0.05000000074505806,0.009151,[0.],4.44,4.7e-05
1,40.55,1.0,0.96,0.05000000074505806,0.004452,[0.],0.81,0.00011
2,58.15,1.0,0.99,0.05000000074505806,0.005107,[0.],1.0,8e-05
3,171.21,1.0,0.58,0.05000000074505806,0.009539,[0.],0.64,4.6e-05
4,166.78,1.0,0.9,0.05000000074505806,0.011821,[0.],1.03,6e-05
5,45.42,1.0,0.1,0.05000000074505806,0.005317,[0.],0.06,0.000117
6,306.88,1.0,0.73,0.05000000074505806,0.010484,[0.],4.7,3e-05
7,55.73,1.0,0.91,0.05000000074505806,0.004661,[0.],0.7,8.8e-05
8,28.35,1.0,0.94,0.05000000074505806,0.004067,[0.],0.36,0.000124
9,60.52,1.0,0.95,0.05000000074505806,0.005036,[0.],0.67,7.8e-05
10,93.03,1.0,0.9,0.05000000074505806,0.008192,[0.],0.96,8.5e-05
11,144.58,1.0,0.86,0.05000000074505806,0.010733,[0.],1.55,6.9e-05
12,40.41,1.0,0.99,0.05000000074505806,0.007887,[0.],0.93,0.000131
13,57.87,1.0,0.99,0.05000000074505806,0.005842,[0.],1.23,9.7e-05
14,44.57,1.0,0.98,0.05000000074505806,0.006085,[0.],0.83,0.000128
15,77.31,1.0,0.83,0.05000000074505806,0.008535,[0.],2.01,7.1e-05
16,174.9,1.0,0.99,0.05000000074505806,0.011611,[0.],3.14,5.6e-05
17,265.72,1.0,0.83,0.05000000074505806,0.010396,[0.],2.82,2.9e-05
