,b,p_error,v,gamma,SNR,s,tau,t0
0,1.0,0.05000000074505806,8.1e-05,[1.],136.57,0.011051,1.3,[0.]
1,1.0,0.05000000074505806,0.000116,[1.],40.25,0.004719,0.54,[0.]
2,1.0,0.05000000074505806,0.000102,[1.],44.98,0.004453,0.53,[0.]
3,1.0,0.05000000074505806,5.6e-05,[1.],103.06,0.007726,0.98,[0.]
4,1.0,0.05000000074505806,7.3e-05,[1.],123.54,0.009572,0.63,[0.]
5,1.0,0.05000000074505806,0.000101,[1.],51.34,0.005208,0.22,[0.]
6,1.0,0.05000000074505806,2.7e-05,[1.],254.54,0.010085,3.83,[0.]
7,1.0,0.05000000074505806,6.2e-05,[1.],121.37,0.007512,1.45,[0.]
8,1.0,0.05000000074505806,0.000127,[1.],42.33,0.003306,0.28,[0.]
9,1.0,0.05000000074505806,5.4e-05,[1.],122.23,0.007986,1.22,[0.]
10,1.0,0.05000000074505806,0.000116,[1.],39.01,0.004578,0.49,[0.]
11,1.0,0.05000000074505806,8.9e-05,[1.],96.55,0.009213,1.43,[0.]
12,1.0,0.05000000074505806,9.3e-05,[1.],102.63,0.009257,1.26,[0.]
13,1.0,0.05000000074505806,0.000107,[1.],49.24,0.005891,0.94,[0.]
14,1.0,0.05000000074505806,0.000146,[1.],41.44,0.006064,0.44,[0.]
15,1.0,0.05000000074505806,9.5e-05,[1.],55.56,0.005871,0.9,[0.]
16,1.0,0.05000000074505806,7.2e-05,[1.],137.57,0.009677,1.17,[0.]
17,1.0,0.05000000074505806,5e-05,[1.],187.93,0.011361,1.94,[0.]
