,SNR,b,gamma,p_error,s,t0,tau,v
0,154.8,1.0,[1.],0.05000000074505806,0.00893,[0.],3.24,4.9e-05
1,43.08,1.0,[1.],0.05000000074505806,0.004695,[0.],1.0,0.000108
2,58.57,1.0,[1.],0.05000000074505806,0.004967,[0.],0.94,7.7e-05
3,142.46,1.0,[1.],0.05000000074505806,0.009816,[0.],1.75,5.5e-05
4,144.23,1.0,[1.],0.05000000074505806,0.011968,[0.],1.35,5.8e-05
5,44.81,1.0,[1.],0.05000000074505806,0.005623,[0.],0.24,0.000125
6,215.57,1.0,[1.],0.05000000074505806,0.011415,[0.],2.27,3.3e-05
7,51.84,1.0,[1.],0.05000000074505806,0.004715,[0.],0.73,9.1e-05
8,28.06,1.0,[1.],0.05000000074505806,0.003377,[0.],0.34,0.000126
9,60.2,1.0,[1.],0.05000000074505806,0.005151,[0.],0.62,8.6e-05
10,96.73,1.0,[1.],0.05000000074505806,0.008104,[0.],1.16,8.6e-05
11,150.03,1.0,[1.],0.05000000074505806,0.010882,[0.],1.64,7.1e-05
12,101.49,1.0,[1.],0.05000000074505806,0.013074,[0.],1.5,0.000131
13,57.57,1.0,[1.],0.05000000074505806,0.005925,[0.],1.2,9.6e-05
14,47.58,1.0,[1.],0.05000000074505806,0.006606,[0.],0.81,0.00013
15,137.8,1.0,[1.],0.05000000074505806,0.008552,[0.],1.84,8e-05
16,205.4,1.0,[1.],0.05000000074505806,0.011349,[0.],2.71,5.4e-05
17,231.16,1.0,[1.],0.05000000074505806,0.01027,[0.],2.46,3.1e-05
